Title,Price,Image URL
"ViprTech.com Pro Gaming PC Computer Desktop - Intel i5 4th Gen, NVIDIA GTX 1050 2GB, 8GB RAM, 1TB HDD, Streaming, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",$479.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/AKF7S2306080Z7M7Z98.jpg
"Velztorm Gladio Custom Built Powerful Gaming Desktop PC (AMD Ryzen 9 5900X 12-Core, 64GB RAM, 2TB PCIe SSD + 1TB HDD (3.5), NVIDIA GeForce RTX 3090, Wifi, Bluetooth, 2xUSB 3.0, 1xHDMI, Win 10 Home)","$2,649.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/A7ABD2201300N6JZFD4.jpg
"VTG Gaming PC Desktop Ryzen9 7900X (12 Core up to 5.6GHz 5nm),Radeon RX 7900 16G, 1TB NVME SSD, 32GB DDR5 RAM , 800W GOLD PSU 11AC Wi-Fi, Windows 11 Home 64-bit","$2,299.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/BMARS2311210OPWPG0E.jpg
"Cobratype Boomslang Gaming Desktop PC - Intel Core i7 12700KF, NVIDIA RTX 3070 Ti, 32 GB DDR5, 1 TB NVMe, AIO Liquid Cooler, Windows 11 Home","$1,699.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/AHT3S211208W7aM2.jpg
"HP EliteDesk 800 G2 Desktop Mini Business PC Computer, Intel Quad Core i5, 16GB RAM, 512GB Solid State Drive, Windows 10 Professional, 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi",$195.93 (5 Offers)–,https://c1.neweggimages.com/ProductImageCompressAll300/ACAGD210628D10WK.jpg
"Cobratype Anaconda Gaming Desktop PC - Intel i9-10900F, RTX 3070 Ti, 32GB DDR4, 1TB NVMe","$1,679.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/AHT3S23033114IFTF1A.jpg
"ASUS ROG Strix GA15 Gaming Desktop PC, AMD Ryzen 7 5800X, GeForce RTX 3070, 32GB DDR4 RAM, 512GB SSD + 1TB HDD, Wi-Fi 5, Windows 10 Home, GA15DK-IB778","$1,801.99 (2 Offers)–",https://c1.neweggimages.com/ProductImageCompressAll300/83-221-709-V08.jpg
HAJAAN CYCLONIA Gaming Tower Computer Desktop PC - AMD Ryzen 7 5700G Processor Up to 4.6GHz - RTX 3060 12G GDDR6 - 32GB DDR4 - 1TB SSD - Windows 11 Pro - Keyboard Mouse and Headset,"$1,119.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/ARZCD2212191A4T4T26.jpg
"Velztorm Black Praetix Gaming Desktop PC (Intel i9-13900K 2.20GHz, GeForce RTX 4090 24GB, 64GB DDR5, 2TB PCIe SSD, 360mm AIO, RGB Fans, 1000W PSU, WiFi 6E, Win 10 Home) VELZ0085","$4,768.00 –",https://c1.neweggimages.com/ProductImageCompressAll300/V0F3D2304290G2UOOFA.jpg
H.E. Gaming PC -AMD Ryzen 5 5600G 3.9GHz - RTX 4060 8GB -32GB DDR4 RAM -1TB PCIe SSD -240 Liquid Cooler -WIFI &Bluetooth Ready -RGB Fans-Windows 11 Pro Desktop Computer,$949.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/B11ND2311080EWQVHB8.jpg
